date,storenumber,total_lettuce_trans_rep
2015-06-11,12631,5
2015-06-11,12631,5
2015-06-11,12631,5
2015-06-11,12631,5
2015-06-11,46673,5
2015-06-12,4904,5
2015-06-12,12631,5
2015-06-12,12631,5
2015-06-12,12631,5
2015-06-12,12631,5
2015-06-12,46673,5
2015-06-12,46673,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-13,12631,5
2015-06-14,12631,5
2015-06-14,12631,5
2015-06-14,20974,5
